model,seed,k,completion_time_s
iid,89,1,0.025400000000000214
iid,89,2,0.024800000000000197
iid,89,4,0.022700000000000137
iid,89,8,0.02210000000000012
iid,90,1,0.0248500000000002
iid,90,2,0.022900000000000142
iid,90,4,0.022050000000000118
iid,90,8,0.021900000000000114
iid,91,1,0.024400000000000185
iid,91,2,0.02350000000000016
iid,91,4,0.02215000000000012
iid,91,8,0.02180000000000011
iid,92,1,0.025000000000000203
iid,92,2,0.023000000000000145
iid,92,4,0.02280000000000014
iid,92,8,0.022000000000000117
iid,93,1,0.025100000000000205
iid,93,2,0.025100000000000205
iid,93,4,0.022700000000000137
iid,93,8,0.022000000000000117
iid,94,1,0.025050000000000204
iid,94,2,0.0248500000000002
iid,94,4,0.023700000000000165
iid,94,8,0.022400000000000128
iid,95,1,0.02455000000000019
iid,95,2,0.023100000000000148
iid,95,4,0.022400000000000128
iid,95,8,0.022050000000000118
iid,96,1,0.04385000000000074
iid,96,2,0.03330000000000044
iid,96,4,0.022300000000000125
iid,96,8,0.022000000000000117
iid,97,1,0.025350000000000213
iid,97,2,0.02415000000000018
iid,97,4,0.022700000000000137
iid,97,8,0.022000000000000117
iid,98,1,0.024450000000000187
iid,98,2,0.024050000000000175
iid,98,4,0.02215000000000012
iid,98,8,0.021900000000000114
iid,99,1,0.045000000000000775
iid,99,2,0.033500000000000446
iid,99,4,0.022250000000000124
iid,99,8,0.02180000000000011
hot_spot,0,1,0.10834999999999623
hot_spot,0,2,0.09234999999999799
hot_spot,0,4,0.05845000000000116
hot_spot,0,8,0.03855000000000059
hot_spot,1,1,0.10929999999999612
hot_spot,1,2,0.08969999999999828
hot_spot,1,4,0.06255000000000127
hot_spot,1,8,0.041450000000000674
hot_spot,2,1,0.10884999999999617
hot_spot,2,2,0.07819999999999955
hot_spot,2,4,0.058950000000001175
hot_spot,2,8,0.03480000000000048
hot_spot,3,1,0.10914999999999614
hot_spot,3,2,0.05535000000000107
hot_spot,3,4,0.0423500000000007
hot_spot,3,8,0.040750000000000654
hot_spot,4,1,0.13189999999999363
hot_spot,4,2,0.0767999999999997
hot_spot,4,4,0.0562500000000011
hot_spot,4,8,0.04755000000000085
hot_spot,5,1,0.13324999999999348
hot_spot,5,2,0.09784999999999738
hot_spot,5,4,0.06060000000000122
hot_spot,5,8,0.052800000000001
hot_spot,6,1,0.13559999999999323
hot_spot,6,2,0.083199999999999
hot_spot,6,4,0.046750000000000826
hot_spot,6,8,0.04300000000000072
hot_spot,7,1,0.13284999999999353
hot_spot,7,2,0.08394999999999891
hot_spot,7,4,0.04280000000000071
hot_spot,7,8,0.04865000000000088
hot_spot,8,1,0.18259999999998805
hot_spot,8,2,0.09159999999999807
hot_spot,8,4,0.06040000000000122
hot_spot,8,8,0.03285000000000043
hot_spot,9,1,0.13179999999999364
hot_spot,9,2,0.10504999999999659
