fabric,P,seed,k,t_sim,opt_time,equal_split_gap,Bstar_Bps,top_used,max_top_contention
2tier,64,7,1,0.01614999999999995,0.01610612736,0.002723972002661945,4166666666.6666665,97,3
2tier,64,7,2,0.013449999999999946,0.0134217728,0.002103090286250886,5000000000.0,160,5
2tier,64,7,4,0.009399999999999971,0.007297274532038835,0.28815216677529065,9196428571.428572,218,7
2tier,64,7,8,0.008749999999999975,0.006646973196190476,0.3163886391199515,10096153846.153847,247,13
3tier_nb,16,1,1,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,30,1
3tier_nb,16,1,2,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,59,2
3tier_nb,16,1,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,115,2
3tier_nb,16,1,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,221,3
3tier_os2,16,1,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,30,1
3tier_os2,16,1,2,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,59,2
3tier_os2,16,1,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,115,2
3tier_os2,16,1,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,221,3
3tier_os4,16,1,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,30,1
3tier_os4,16,1,2,0.021500000000000102,0.014316557653333332,0.5017576515674664,4687500000.0,59,2
3tier_os4,16,1,4,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,115,2
3tier_os4,16,1,8,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,221,3
2tier,16,1,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,29,2
2tier,16,1,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,49,3
2tier,16,1,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,83,4
2tier,16,1,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,118,5
3tier_nb,64,1,1,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,120,2
3tier_nb,64,1,2,0.008099999999999979,0.00805306368,0.005828380584714132,8333333333.333333,234,2
3tier_nb,64,1,4,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,446,3
3tier_nb,64,1,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,767,4
3tier_os2,64,1,1,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,120,2
3tier_os2,64,1,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,234,2
3tier_os2,64,1,4,0.008099999999999979,0.005856773585454546,0.3830140233039818,11458333333.333332,446,3
3tier_os2,64,1,8,0.005399999999999995,0.00536870912,0.005828380584715909,12500000000.0,767,4
3tier_os4,64,1,1,0.04295000000000072,0.04294967296,7.614493386709498e-06,1562500000.0,120,2
3tier_os4,64,1,2,0.021500000000000102,0.02147483648,0.0011717677116442893,3125000000.0,234,2
3tier_os4,64,1,4,0.01614999999999995,0.00920350134857143,0.7547669510046584,7291666666.666666,446,3
3tier_os4,64,1,8,0.010749999999999963,0.007158278826666666,0.501757651567454,9375000000.0,767,4
2tier,64,1,1,0.01614999999999995,0.01610612736,0.002723972002661945,4166666666.6666665,90,3
2tier,64,1,2,0.010749999999999963,0.01073741824,0.0011717677116360736,6250000000.0,151,4
