fabric,P,seed,k,t_prop
2tier,16,102,4,0.00624999999999999
2tier,16,102,8,0.005399999999999995
2tier,16,102,16,0.005399999999999995
2tier,16,103,2,0.007549999999999982
2tier,16,103,4,0.005399999999999995
2tier,16,103,8,0.005399999999999995
2tier,16,103,16,0.005399999999999995
2tier,16,104,2,0.005399999999999995
2tier,16,104,4,0.005399999999999995
2tier,16,104,8,0.005399999999999995
2tier,16,104,16,0.005399999999999995
2tier,16,105,2,0.006449999999999989
2tier,16,105,4,0.005399999999999995
2tier,16,105,8,0.005399999999999995
2tier,16,105,16,0.005399999999999995
2tier,16,106,2,0.007549999999999982
2tier,16,106,4,0.00624999999999999
2tier,16,106,8,0.005399999999999995
2tier,16,106,16,0.005399999999999995
2tier,16,107,2,0.007199999999999984
2tier,16,107,4,0.006799999999999987
2tier,16,107,8,0.005699999999999993
2tier,16,107,16,0.005399999999999995
2tier,16,108,2,0.006449999999999989
2tier,16,108,4,0.0059999999999999915
2tier,16,108,8,0.005949999999999992
2tier,16,108,16,0.005399999999999995
2tier,16,109,2,0.005399999999999995
2tier,16,109,4,0.005399999999999995
2tier,16,109,8,0.005399999999999995
2tier,16,109,16,0.005399999999999995
2tier,16,110,2,0.005399999999999995
2tier,16,110,4,0.005399999999999995
2tier,16,110,8,0.005399999999999995
2tier,16,110,16,0.005399999999999995
2tier,16,111,2,0.005399999999999995
2tier,16,111,4,0.005399999999999995
2tier,16,111,8,0.005399999999999995
2tier,16,111,16,0.005399999999999995
2tier,16,112,2,0.005399999999999995
2tier,16,112,4,0.005399999999999995
2tier,16,112,8,0.005399999999999995
2tier,16,112,16,0.005399999999999995
2tier,16,113,2,0.005399999999999995
2tier,16,113,4,0.005399999999999995
2tier,16,113,8,0.005399999999999995
2tier,16,113,16,0.005399999999999995
2tier,16,114,2,0.005399999999999995
2tier,16,114,4,0.0059999999999999915
2tier,16,114,8,0.005399999999999995
2tier,16,114,16,0.005399999999999995
2tier,16,115,2,0.005399999999999995
2tier,16,115,4,0.005399999999999995
2tier,16,115,8,0.005399999999999995
2tier,16,115,16,0.005399999999999995
2tier,16,116,2,0.007549999999999982
2tier,16,116,4,0.006349999999999989
2tier,16,116,8,0.005399999999999995
2tier,16,116,16,0.005399999999999995
2tier,16,117,2,0.007549999999999982
2tier,16,117,4,0.005399999999999995
2tier,16,117,8,0.005399999999999995
2tier,16,117,16,0.005399999999999995
2tier,16,118,2,0.005399999999999995
2tier,16,118,4,0.005399999999999995
2tier,16,118,8,0.005399999999999995
2tier,16,118,16,0.005399999999999995
2tier,16,119,2,0.005399999999999995
2tier,16,119,4,0.005399999999999995
2tier,16,119,8,0.005399999999999995
2tier,16,119,16,0.005399999999999995
2tier,16,120,2,0.005399999999999995
2tier,16,120,4,0.005399999999999995
2tier,16,120,8,0.005399999999999995
2tier,16,120,16,0.005399999999999995
2tier,16,121,2,0.005399999999999995
2tier,16,121,4,0.005399999999999995
2tier,16,121,8,0.005399999999999995
2tier,16,121,16,0.005399999999999995
2tier,16,122,2,0.005399999999999995
2tier,16,122,4,0.005399999999999995
2tier,16,122,8,0.005399999999999995
2tier,16,122,16,0.005399999999999995
2tier,16,123,2,0.005399999999999995
2tier,16,123,4,0.0059999999999999915
2tier,16,123,8,0.005399999999999995
2tier,16,123,16,0.005399999999999995
2tier,16,124,2,0.007549999999999982
2tier,16,124,4,0.005399999999999995
2tier,16,124,8,0.005399999999999995
2tier,16,124,16,0.005399999999999995
2tier,16,125,2,0.005399999999999995
2tier,16,125,4,0.005399999999999995
2tier,16,125,8,0.005399999999999995
2tier,16,125,16,0.005399999999999995
2tier,16,126,2,0.006449999999999989
2tier,16,126,4,0.005399999999999995
2tier,16,126,8,0.005399999999999995
2tier,16,126,16,0.005399999999999995
2tier,16,127,2,0.005399999999999995
2tier,16,127,4,0.006949999999999986
2tier,16,127,8,0.005399999999999995
2tier,16,127,16,0.005399999999999995
2tier,16,128,2,0.007549999999999982
2tier,16,128,4,0.005399999999999995
2tier,16,128,8,0.005399999999999995
2tier,16,128,16,0.005399999999999995
