fabric,P,seed,k,t_prop
3tier_os4,64,3,4,0.009199999999999972
3tier_os4,64,3,8,0.006949999999999986
3tier_os4,64,3,16,0.005899999999999992
3tier_os4,64,3,32,0.0054999999999999945
2tier,64,3,2,0.014099999999999942
2tier,64,3,4,0.007699999999999981
2tier,64,3,8,0.006099999999999991
2tier,64,3,16,0.006049999999999991
2tier,64,3,32,0.005549999999999994
3tier_nb,16,5,2,0.005399999999999995
3tier_nb,16,5,4,0.005399999999999995
3tier_nb,16,5,8,0.005399999999999995
3tier_nb,16,5,16,0.005399999999999995
3tier_nb,16,5,32,0.005399999999999995
3tier_os2,16,5,2,0.005399999999999995
3tier_os2,16,5,4,0.005399999999999995
3tier_os2,16,5,8,0.005399999999999995
3tier_os2,16,5,16,0.005399999999999995
3tier_os2,16,5,32,0.005399999999999995
3tier_os4,16,5,2,0.010749999999999963
3tier_os4,16,5,4,0.007099999999999985
3tier_os4,16,5,8,0.005399999999999995
3tier_os4,16,5,16,0.005399999999999995
3tier_os4,16,5,32,0.005399999999999995
2tier,16,5,2,0.005399999999999995
2tier,16,5,4,0.005399999999999995
2tier,16,5,8,0.005399999999999995
2tier,16,5,16,0.005399999999999995
2tier,16,5,32,0.005399999999999995
3tier_nb,64,5,2,0.005399999999999995
3tier_nb,64,5,4,0.005399999999999995
3tier_nb,64,5,8,0.005399999999999995
3tier_nb,64,5,16,0.005399999999999995
3tier_nb,64,5,32,0.005399999999999995
3tier_os2,64,5,2,0.010749999999999963
3tier_os2,64,5,4,0.006399999999999989
3tier_os2,64,5,8,0.005399999999999995
3tier_os2,64,5,16,0.005399999999999995
3tier_os2,64,5,32,0.005399999999999995
3tier_os4,64,5,2,0.021500000000000102
3tier_os4,64,5,4,0.00959999999999997
3tier_os4,64,5,8,0.006599999999999988
3tier_os4,64,5,16,0.005749999999999993
3tier_os4,64,5,32,0.005449999999999995
2tier,64,5,2,0.009999999999999967
2tier,64,5,4,0.008899999999999974
2tier,64,5,8,0.006549999999999988
2tier,64,5,16,0.005749999999999993
2tier,64,5,32,0.0054999999999999945
3tier_nb,16,9,2,0.005399999999999995
3tier_nb,16,9,4,0.005399999999999995
3tier_nb,16,9,8,0.005399999999999995
3tier_nb,16,9,16,0.005399999999999995
3tier_nb,16,9,32,0.005399999999999995
3tier_os2,16,9,2,0.010749999999999963
3tier_os2,16,9,4,0.005399999999999995
3tier_os2,16,9,8,0.005399999999999995
3tier_os2,16,9,16,0.005399999999999995
3tier_os2,16,9,32,0.005399999999999995
3tier_os4,16,9,2,0.021500000000000102
3tier_os4,16,9,4,0.008199999999999978
3tier_os4,16,9,8,0.005849999999999992
3tier_os4,16,9,16,0.005699999999999993
3tier_os4,16,9,32,0.005399999999999995
2tier,16,9,2,0.007549999999999982
2tier,16,9,4,0.005399999999999995
2tier,16,9,8,0.005399999999999995
2tier,16,9,16,0.005399999999999995
2tier,16,9,32,0.005399999999999995
3tier_nb,64,9,2,0.010749999999999963
3tier_nb,64,9,4,0.007549999999999982
3tier_nb,64,9,8,0.005699999999999993
3tier_nb,64,9,16,0.005399999999999995
3tier_nb,64,9,32,0.005399999999999995
3tier_os2,64,9,2,0.010749999999999963
3tier_os2,64,9,4,0.007549999999999982
3tier_os2,64,9,8,0.005699999999999993
3tier_os2,64,9,16,0.005399999999999995
3tier_os2,64,9,32,0.005399999999999995
3tier_os4,64,9,2,0.021500000000000102
3tier_os4,64,9,4,0.009199999999999972
3tier_os4,64,9,8,0.007049999999999985
3tier_os4,64,9,16,0.005899999999999992
3tier_os4,64,9,32,0.005399999999999995
2tier,64,9,2,0.008999999999999973
2tier,64,9,4,0.006849999999999986
2tier,64,9,8,0.005949999999999992
2tier,64,9,16,0.005549999999999994
2tier,64,9,32,0.0054999999999999945
3tier_nb,16,8,2,0.005399999999999995
